Base Price;;Name;Supplier;Image URL
35.55;;MikroTik na start. Kurs video. Podstawy konfiguracji routera;Jacek Mielnik;https://static01.helion.com.pl/global/okladki/145x218/vmikst.png
15.60;;PHP. Kurs video. Poziom drugi. Programowanie obiektowe w praktyce;Krzysztof Wołowski;https://static01.helion.com.pl/global/okladki/145x218/vphpp2.png
29.50;;SQL. Kurs video. Od podstaw do zagadnień zaawansowanych. Tworzenie baz danych;Przemysław Starosta;https://static01.helion.com.pl/global/okladki/145x218/vsqlod.png
40.05;;Microsoft Windows Server 2019. Kurs video. Nowoczesne administrowanie siecią;Jacek Mielnik;https://static01.helion.com.pl/global/okladki/145x218/vws19z.png
24.50;;SQL. Kurs video. Projektowanie i implementacja baz danych;Krzysztof Piaskowy;https://static01.helion.com.pl/global/okladki/145x218/vtwbzd.png
35.55;;Python. Kurs video. Kreacyjne i strukturalne wzorce projektowe;Karol Kurek;https://static01.helion.com.pl/global/okladki/145x218/vwzpyt.png
64.50;;Angular 11. Kurs video. Poznaj moc tworzenia aplikacji typu SPA;Rafał Słuja;https://static01.helion.com.pl/global/okladki/145x218/vangta.png
74.50;;Google Cloud. Kurs video. Zostań administratorem systemów IT;Piotr Tenyszyn;https://static01.helion.com.pl/global/okladki/145x218/vgoclo.png
34.50;;Programowanie asynchroniczne i równoległe w C#. Kurs video. Poziom podstawowy;Jarosław Porwoł;https://static01.helion.com.pl/global/okladki/145x218/vasynp.png
26.55;;Zostań programistą. Kurs video. Fundamentalne zasady i koncepcje programistyczne;Przemysław Starosta;https://static01.helion.com.pl/global/okladki/145x218/vzopro.png
19.95;;ASP.NET Core. Kurs video. Tworzenie REST Web API;Jakub Kozera;https://static01.helion.com.pl/global/okladki/145x218/vtwres.png
34.50;;Wyrażenia regularne w Pythonie. Kurs video. Kompletne vademecum;Karol Kurek;https://static01.helion.com.pl/global/okladki/145x218/vwyrep.png
44.55;;Python. Kurs video. Programowanie asynchroniczne;Karol Kurek;https://static01.helion.com.pl/global/okladki/145x218/vprasp.png
59.50;;Docker. Kurs video. Zostań administratorem systemów IT;Piotr Tenyszyn;https://static01.helion.com.pl/global/okladki/145x218/vdockv.png
35.55;;Język C. Kurs video. Praktyczne wprowadzenie do programowania;Adam Bobowski;https://static01.helion.com.pl/global/okladki/145x218/vprojc.png
59.50;;C#. Kurs video. Zacznij programować obiektowo!;Marcin Szeliga;https://static01.helion.com.pl/global/okladki/145x218/vtprob.png
89.55;;Bezpieczeństwo w ASP.NET Core. Kurs video. Podstawy kryptografii;Bartosz Szmit;https://static01.helion.com.pl/global/okladki/145x218/vbezpi.png
24.50;;Keras w praktyce. Kurs video. Tworzenie modeli uczenia głębokiego;Radosław Słowiński;https://static01.helion.com.pl/global/okladki/145x218/vwdeel.png
58.05;;SQL. Kurs video. Od zera do bohatera. Modyfikowanie danych;Marcin Szeliga;https://static01.helion.com.pl/global/okladki/145x218/vsqlo2.png
22.05;;Linux. Kurs video. Komendy i polecenia;Daniel Deres;https://static01.helion.com.pl/global/okladki/145x218/vlinkp.png
67.60;;Excel 2019 VBA. Kurs video. Opanuj podstawy i przećwicz je na 50 praktycznych przykładach;Daniel Brzózka;https://static01.helion.com.pl/global/okladki/145x218/vexpod.png
51.60;;Przetwarzanie danych w Excelu. Kurs video. Laboratorium Power Query;Marcin Cichocki;https://static01.helion.com.pl/global/okladki/145x218/vprzex.png
49.50;;Automatyzacja zadań w Pythonie. Kurs video;Karol Kurek;https://static01.helion.com.pl/global/okladki/145x218/vautpr.png
23.60;;Excel 2013 i programowanie VBA. Kurs video. Poziom pierwszy. Tworzenie makr dla arkusza kalkulacyjnego;Jarosław Baca;https://static01.helion.com.pl/global/okladki/145x218/ve13v1.png
