Base Price,Price Tax Included,Name,Supplier,Image URL,Url
39.90,1,Node.js i TypeScript. Kurs video. Tworzenie skalowalnych mikroserwisów,Sebastian Domagała,https://static01.helion.com.pl/global/okladki/145x218/vnodej.png,"https://helion.pl/ksiazki/node-js-i-typescript-kurs-video-tworzenie-skalowalnych-mikroserwisow-sebastian-domagala,vnodej.htm#format/w"
34.50,1,Linux. Kurs video. Wprowadzenie do pracy z konsolą,Piotr Chudzik,https://static01.helion.com.pl/global/okladki/145x218/vlinko.png,"https://helion.pl/ksiazki/linux-kurs-video-wprowadzenie-do-pracy-z-konsola-piotr-chudzik,vlinko.htm#format/w"
355.50,1,Cisco CCNA 200-301. Kurs video. Administrowanie bezpieczeństwem sieci. Część 3,Adam Józefiok,https://static01.helion.com.pl/global/okladki/145x218/vcccab.png,"https://helion.pl/ksiazki/cisco-ccna-200-301-kurs-video-administrowanie-bezpieczenstwem-sieci-czesc-3-adam-jozefiok,vcccab.htm#format/w"
395.00,1,Cisco CCNA 200-301. Kurs video. Administrowanie urządzeniami Cisco. Część 2,Adam Józefiok,https://static01.helion.com.pl/global/okladki/145x218/vcccau.png,"https://helion.pl/ksiazki/cisco-ccna-200-301-kurs-video-administrowanie-urzadzeniami-cisco-czesc-2-adam-jozefiok,vcccau.htm#format/w"
74.50,1,Data Science w Pythonie. Kurs video. Przetwarzanie i analiza danych,Oleg Żero,https://static01.helion.com.pl/global/okladki/145x218/vpyton.png,"https://helion.pl/ksiazki/data-science-w-pythonie-kurs-video-przetwarzanie-i-analiza-danych-oleg-zero,vpyton.htm#format/w"
26.55,1,Język C#. Kurs video. Poziom pierwszy. Programowanie dla początkujących,Anna Kempa,https://static01.helion.com.pl/global/okladki/145x218/vjcku1.png,"https://helion.pl/ksiazki/jezyk-c-kurs-video-poziom-pierwszy-programowanie-dla-poczatkujacych-anna-kempa,vjcku1.htm#format/w"
58.05,1,SQL. Kurs video. Od zera do bohatera. Odczytywanie danych,Marcin Szeliga,https://static01.helion.com.pl/global/okladki/145x218/vsqloz.png,"https://helion.pl/ksiazki/sql-kurs-video-od-zera-do-bohatera-odczytywanie-danych-marcin-szeliga,vsqloz.htm#format/w"
40.05,1,MikroTik. Kurs video. Przygotowanie do egzaminu MTCNA,Jacek Mielnik,https://static01.helion.com.pl/global/okladki/145x218/vmikro.png,"https://helion.pl/ksiazki/mikrotik-kurs-video-przygotowanie-do-egzaminu-mtcna-jacek-mielnik,vmikro.htm#format/w"
26.55,1,Python 3. Kurs video. Praktyczne wprowadzenie do programowania,Adam Bobowski,https://static01.helion.com.pl/global/okladki/145x218/vpytod.png,"https://helion.pl/ksiazki/python-3-kurs-video-praktyczne-wprowadzenie-do-programowania-adam-bobowski,vpytod.htm#format/w"
67.05,1,"Testy E2E. Kurs video. Protractor, Cypress, Cucumber",Dawid Perdek,https://static01.helion.com.pl/global/okladki/145x218/vrodop.png,"https://helion.pl/ksiazki/testy-e2e-kurs-video-protractor-cypress-cucumber-dawid-perdek,vrodop.htm#format/w"
58.05,1,Mikrotik. Kurs video. Przygotowanie do egzaminu MTCRE,Jacek Mielnik,https://static01.helion.com.pl/global/okladki/145x218/vmikti.png,"https://helion.pl/ksiazki/mikrotik-kurs-video-przygotowanie-do-egzaminu-mtcre-jacek-mielnik,vmikti.htm#format/w"
